VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
NACCID,header,NACC derived variable,Subject ID number,Numeric longitudinal, Prefix NACC followed by 0  - 10 numbers
NACCADC,header,NACC derived variable,ADC at which subject was seen,Numeric cross-sectional, 100 -9999
PACKET,header,Original UDS question,Packet code,Numeric longitudinal," I = Initial Visit Packet
		F = Follow-up Visit Packet
		T = Telephone Visit Packet"
FORMVER,header,Original UDS question,Form version number,Numeric longitudinal, 1 - 3
VISITMO,header,Original UDS question,Form date - month,Numeric longitudinal, 1 - 12
VISITDAY,header,Original UDS question,Form date - day,Numeric longitudinal, 1 -  31
VISITYR,header,Original UDS question,Form date - year,Numeric longitudinal, 2005 to the present year
NACCVNUM,header,NACC derived variable,UDS visit number (order),Numeric longitudinal, 1 - 20
NACCAVST,header,NACC derived variable,Total number of all UDS visits made,Numeric cross-sectional, 1 - 20
NACCNVST,header,NACC derived variable,Number of in-person UDS visits made,Numeric cross-sectional, 1 - 20
NACCDAYS,header,NACC derived variable,Days from initial visit to most recent visit,Numeric cross-sectional, 0 - 5000
NACCFDYS,header,NACC derived variable,Days from initial visit to each follow-up visit,Numeric longitudinal, 0 - 5000
NACCDIED,milestones,NACC derived variable,Subject is known to be deceased,Numeric cross-sectional," 0 = Not deceased/unknown
1 = Deceased
Description/derivation:	A subject with a Neuropathology Form and/or a Milestones Form reporting the subject's death is indicated as deceased (naccdied = 1). Otherwise, naccdied = 0. NOTE: NACC is not always made aware of deaths for active and inactive subjects; thus naccdied = 0 for a subject who has died but whose death was not reported to NACC."
NACCMOD,milestones,NACC derived variable,Month of death,Numeric cross-sectional," 1 - 12
88 = Not applicable, subject not deceased
99 = Unknown"
NACCYOD,milestones,NACC derived variable,Year of death,Numeric cross-sectional," Allowable codes cannot precede 1970; in most cases, should not precede 1984 
8888 = Not applicable, subject not deceased
9999 = Unknown"
NACCACTV,milestones,NACC derived variable,Follow-up status at the Alzheimer's Disease Center (ADC),Numeric cross-sectional," 0 = Died, discontinued, lost to follow-up
1 = Annual follow-up (no discontinuation/loss to follow-up or minimal contact)
2 = Minimal contact with Center, no annual follow-up"
NACCNOVS,milestones,NACC derived variable,No longer followed annually in person or by telephone,Numeric cross-sectional," 0 = Still receiving annual follow-up in person or by telephone 
		1 = No longer receiving annual follow-up in person or by telephone
		8 = Not applicable, enrolled for initial visit only"
NACCDSMO,milestones,NACC derived variable,Month of discontinuation from annual follow-up,Numeric cross-sectional," 1 - 12
		88 = Not applicable, still followed annually in person or by telephone"
NACCDSDY,milestones,NACC derived variable,Day of discontinuation from annual follow-up,Numeric cross-sectional," 1- 31
		88 = Not applicable, still followed annually in person or by telephone"
NACCDSYR,milestones,NACC derived variable,Year of discontinuation from annual follow-up,Numeric cross-sectional," 2005 to present
		8888 = Not applicable, still followed annually in person or by telephone"
NACCNURP,milestones,NACC derived variable,Permanently moved to a nursing home,Numeric cross-sectional," 0 = Did not report permanent move to a nursing home 
1 = Permanently moved to a nursing home"
NACCNRMO,milestones,NACC derived variable,Month permanently moved to nursing home,Numeric cross-sectional," 1 - 12
88 = Not applicable, no permanent move to a nursing home
99 = Unknown"
NACCNRDY,milestones,NACC derived variable,Day permanently moved to nursing home,Numeric cross-sectional," 1 - 31
88 = Not applicable, no permanent move to a nursing home
99 = Unknown"
NACCNRYR,milestones,NACC derived variable,Year permanently moved to nursing home,Numeric cross-sectional," 2002 to present
8888 = Not applicable, no permanent move to a nursing home
9999 = Unknown"
NACCMDSS,milestones,NACC derived variable,Subject's status in the Minimal Data Set (MDS) and Uniform Data Set (UDS),Numeric cross-sectional," 1 = In the UDS and MDS
2 = In the MDS only 
3 = In the UDS only"
NACCPAFF,milestones,NACC derived variable,Previously affiliated subject,Numeric cross-sectional," 0 = Not previously affiliated subject 
1 = Previously affiliated subject"
NACCFTD,other,NACC derived variable,One or more FTLD Module visits completed,Numeric cross-sectional," 0 = No FTLD Module visit
1 = At least one FTLD Module visit"
NACCLBDM,other,NACC derived variable,One or more LBD Module visits completed,Numeric cross-sectional," 0 = No LBD Module visit
1 = At least one LBD Module visit"
NACCNMRI,other,NACC derived variable,Total number of MRI session,Numeric cross-sectional," 1 - 20
88 = Not applicable / no MRI available"
NACCMRSA,other,NACC derived variable,At least one MRI scan available,Numeric cross-sectional," 0 = No; does not have at least one MRI available at NACC
1 = Yes; has at least one MRI available at NACC"
NACCNAPA,other,NACC derived variable,Total number of amyloid PET scans available,Numeric cross-sectional," 1 - 20
88 = Not applicable / no amyloid PET available"
NACCAPSA,other,NACC derived variable,At least one amyloid PET scan available,Numeric cross-sectional," 0 = No; does not have any amyloid PET scans at NACC
1 = Yes; has at least one amyloid PET scan available at NACC"
NACCACSF,other,NACC derived variable,One or more measures of AB1-42 reported,Numeric cross-sectional," 0 = No AB1-42 reported
1 = One or more measures of AB1-42 reported"
NACCPCSF,other,NACC derived variable,One or more measures of P-tau181P reported,Numeric cross-sectional," 0 = No P-tau181P reported
1 = One or more measures of P-tau181P reported"
NACCTCSF,other,NACC derived variable,One or more measures of T-tau reported,Numeric cross-sectional," 0 = No T-tau reported
1 = One or more measures of T-tau reported"
NACCAUTP,other,NACC derived variable,Neuropathology data from an autopsy is available,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not applicable, subject not deceased"
NACCREAS,a1,NACC derived variable,Primary reason for coming to ADC,Numeric cross-sectional," 1 = To participate in a research study	  
2 = To have a clinical evaluation
7 = Both to participate in a research study and to have a clinical evaluation, or another reason
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCREFR,a1,NACC derived variable,Principal referral source,Numeric cross-sectional," 1 = Non-professional contact: self/relative/friend  
2 = Professional contact: clinician, nurse, doctor, other health care provider, or other staff (ADC and non-ADC)
8 = Other
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BIRTHMO,a1,Original UDS question,Subject's month of birth,Numeric cross-sectional, 1- 12
BIRTHYR,a1,Original UDS question,Subject's year of birth,Numeric cross-sectional, 1875 to (current year minus 15)
SEX,a1,Original UDS question,Subject's sex,Numeric cross-sectional," 1 = Male
2 = Female"
HISPANIC,a1,Original UDS question,Hispanic/Latino ethnicity,Numeric cross-sectional," 0 = No
1 = Yes
9 = Unknown"
